Entity,Code,Year,Total deaths - Fog (decadal),Total deaths - Glacial lake outburst (decadal),Total deaths - Wildfire (decadal),Total deaths - Dry mass movement (decadal),Total deaths - Landslide (decadal),Total deaths - Volcanic activity (decadal),Total deaths - Extreme temperature (decadal),Total deaths - Extreme weather (decadal),Total deaths - Earthquake (decadal),Total deaths - Flood (decadal),Total deaths - Drought (decadal)
Afghanistan,AFG,1900,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,1910,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,1920,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,1930,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,1940,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,1950,0,0,0,0,0,0,0,0,210,5.1,0
Afghanistan,AFG,1960,0,0,0,0,0,0,0,0,0,10.7,0
Afghanistan,AFG,1970,0,0,0,0,10,0,0,0,6.1,32.1,0
Afghanistan,AFG,1980,0,0,0,0,7,0,0,0,51.3,0,0
Afghanistan,AFG,1990,0,0,0,0,73.9,0,22.4,1,742.6,199,0
Afghanistan,AFG,2000,0,0,0,0,4.3,0,166.5,33.1,123.6,116.3,3.7
Afghanistan,AFG,2010,0,0,0,0,83.8,0,4.5,15.1,21.7,137,0
Afghanistan,AFG,2020,0,0,0,0,20.333334,0,0,4.3333335,354.66666,310.66666,0
Africa,,1900,0,0,0,0,0,1.7,0,0,10,0,1100
Africa,,1910,0,0,0,0,0,0,0,0,1.2,0,8500
Africa,,1920,0,0,0,0,0,0,0,0,1.2,300,2400
Africa,,1930,0,0,0,0,0,0,0,0,2.2,0,0
Africa,,1940,0,0,0,0,0,0,0,16.5,27.6,0,5000
Africa,,1950,0,0,0,0,0,0,0,64.2,128.3,23.7,0
Africa,,1960,0,0,0,0,30.8,0,0,15.2,1257.7,134.3,205
Africa,,1970,0,0,0.2,0,0,21.2,0,41.5,0,132.8,11900
Africa,,1980,0,0,0.4,7.7,1.1,178.3,0,108,313.8,165,55495.4
Africa,,1990,0,0,10.6,4.7,17.8,0,10.2,113,79.9,731.7,23.9
Africa,,2000,0,0,15.4,9.8,20.2,20.6,12.5,127.3,333.5,794.8,88.8
Africa,,2010,0,0,7.1,0,242.5,0,14.5,291.6,3.1,723.3,2000
Africa,,2020,0,0,44.666668,0,15.333333,10.666667,0,179.33333,0,1141,821.6667
Albania,ALB,1900,0,0,0,0,0,0,0,0,12,0,0
Albania,ALB,1910,0,0,0,0,0,0,0,0,0,0,0
Albania,ALB,1920,0,0,0,0,0,0,0,0,20,0,0
Albania,ALB,1930,0,0,0,0,0,0,0,0,15,0,0
Albania,ALB,1940,0,0,0,0,0,0,0,0,4.3,0,0
Albania,ALB,1950,0,0,0,0,0,0,0,0,0,0,0
Albania,ALB,1960,0,0,0,0,0,0,0,0,2.6,0,0
Albania,ALB,1970,0,0,0,0,0,0,0,0,3.5,0,0
Albania,ALB,1980,0,0,0,0,5.7,0,6.8,0,0.1,0,0
Albania,ALB,1990,0,0,0,0,0,0,0,0,0,1.5,0
Albania,ALB,2000,0,0,0,0,0,0,0.3,0.8,0,0.4,0
Albania,ALB,2010,0,0,0,0,0,0,1.1,0,5.1,0.4,0
Albania,ALB,2020,0,0,0,0,0,0,0,0,0,0,0
Algeria,DZA,1900,0,0,0,0,0,0,0,0,0,0,0
Algeria,DZA,1910,0,0,0,0,0,0,0,0,1.2,0,0
Algeria,DZA,1920,0,0,0,0,0,0,0,0,0,300,0
Algeria,DZA,1930,0,0,0,0,0,0,0,0,0,0,0
Algeria,DZA,1940,0,0,0,0,0,0,0,0,27.6,0,0
Algeria,DZA,1950,0,0,0,0,0,0,0,0,125,2.5,0
Algeria,DZA,1960,0,0,0,0,0,0,0,0,6.9,15.3,0
Algeria,DZA,1970,0,0,0,0,0,0,0,0,0,3.2,0
Algeria,DZA,1980,0,0,0,0,0,0,0,0,268.6,16,0
Algeria,DZA,1990,0,0,2.2,0,1.5,0,0,0,19.3,10.3,0
